iter	Passed	Remaining
0	311	311303
1	312	156076
2	314	104391
3	315	78450
4	315	62847
5	316	52463
6	317	45028
7	318	39459
8	319	35126
9	319	31653
10	320	28824
11	321	26460
12	322	24454
13	322	22735
14	323	21254
15	324	19947
16	325	18804
17	326	17789
18	327	16887
19	328	16082
20	329	15342
21	329	14660
22	330	14045
23	331	13479
24	332	12962
25	333	12481
26	333	12032
27	334	11618
28	335	11234
29	336	10874
30	337	10542
31	337	10223
32	338	9930
33	339	9648
34	340	9382
35	341	9134
36	342	8902
37	343	8691
38	344	8479
39	344	8276
40	345	8082
41	346	7898
42	347	7725
43	347	7559
44	348	7399
45	349	7250
46	350	7101
47	351	6963
48	351	6830
49	352	6700
50	353	6576
51	354	6457
52	355	6344
53	356	6240
54	357	6137
55	358	6043
56	359	5944
57	360	5847
58	360	5755
59	361	5664
60	362	5579
61	363	5495
62	364	5414
63	364	5335
64	365	5259
65	366	5184
66	367	5114
67	368	5047
68	369	4980
69	370	4916
70	370	4854
71	371	4792
72	373	4738
73	374	4680
74	375	4626
75	375	4570
76	376	4516
77	377	4463
78	378	4410
79	378	4358
80	379	4309
81	380	4261
82	381	4211
83	382	4166
84	382	4121
85	383	4075
86	384	4031
87	385	3990
88	386	3951
89	386	3912
90	388	3878
91	389	3840
92	389	3802
93	390	3764
94	391	3728
95	392	3693
96	393	3659
97	393	3624
98	394	3591
99	395	3559
100	396	3527
101	397	3496
102	397	3464
103	398	3434
104	399	3403
105	400	3374
106	401	3346
107	401	3319
108	403	3296
109	403	3268
110	404	3240
111	405	3212
112	405	3185
113	406	3159
114	407	3133
115	407	3107
116	408	3080
117	408	3055
118	409	3031
119	410	3008
120	410	2984
121	411	2960
122	411	2937
123	412	2915
124	413	2893
125	413	2871
126	414	2849
127	415	2827
128	415	2806
129	416	2787
130	417	2770
131	418	2751
132	419	2732
133	419	2712
134	420	2693
135	420	2674
136	421	2655
137	422	2637
138	422	2619
139	423	2602
140	424	2584
